"track_url","page_name","track_title","plays","likes","comments","upload_datetime","cover_url"
"https://soundcloud.com/amintijayy/beruz","Amin Tijay","Beruz","79626","2078","250","2021-12-26T18:15:00.000Z","https://i1.sndcdn.com/artworks-QomuTbJnBQHgvYeN-4sRmhA-t50x50.jpg"
"https://soundcloud.com/hiphopologistsoroush/nefrat-prod-kagan-kiyot","Hiphopologist","Nefrat Freestyle [Prod. Kagan, Kiyot]","504514","14900","608","2024-07-04T20:18:19.000Z","https://i1.sndcdn.com/artworks-uuM1tjIzn764ZyYm-hYRdEg-t200x200.png"
"https://soundcloud.com/hiphopologistsoroush/boz-prod-kagan-chashbeatzz","Hiphopologist","Boz [Prod. Kagan, Cashbeatzz, m3ttios]","1798100","40200","2471","2024-06-22T11:06:53.000Z","https://i1.sndcdn.com/artworks-VJx5hcw11MzMXkkj-3mFz0Q-t200x200.png"
"https://soundcloud.com/hiphopologistsoroush/khaan-prod-arsam","Hiphopologist","Khaan [Prod. Kagan, Arsam, Saint Andre]","915020","17900","1008","2024-05-31T16:02:36.000Z","https://i1.sndcdn.com/artworks-ZRflVzUgiOVT3Fo9-aQnmLg-t50x50.jpg"
"https://soundcloud.com/hiphopologistsoroush/fasele-ta-suqut","Hiphopologist","Fasele Ta Suqut [Prod. Atour]","862198","18900","1346","2024-05-28T16:15:11.000Z","https://i1.sndcdn.com/artworks-6B3KPah4pZEOpCyr-4gyleQ-t50x50.jpg"
"https://soundcloud.com/hiphopologistsoroush/shakkak-prod-kagan-hossienamin-hoomaan-emvi-sepehrrwe","Hiphopologist","Shakkak [Prod. Kagan, HossienAmin, Hoomaan, Emvi, Sepehrrwe]","2310437","47300","4345","2024-04-24T15:45:39.000Z","https://i1.sndcdn.com/artworks-hIICqyKK4UBRghiQ-wMlHrw-t50x50.jpg"
"https://soundcloud.com/hiphopologistsoroush/hiphopologist-x-vinak-irani-turkish-prod-kagan-arsam-moreshahin-hosseinamin","Hiphopologist","Hiphopologist x Vinak - Irani Turkish [Prod. Kagan, Arsam, Moreshahin, Hosseinamin]","1629876","20100","950","2024-02-05T21:08:12.000Z","https://i1.sndcdn.com/artworks-gLHoGBAhQBVnRlpQ-cDBZyg-t50x50.jpg"
"https://soundcloud.com/hiphopologistsoroush/hiphopologist-x-vinak-prod-kagan-mani-fp","Hiphopologist","Hiphopologist x Vinak - T Nabood [Prod. Kagan, Mani Fp]","2272583","32900","1322","2024-02-05T21:08:05.000Z","https://i1.sndcdn.com/artworks-gLHoGBAhQBVnRlpQ-cDBZyg-t50x50.jpg"
"https://soundcloud.com/hiphopologistsoroush/hiphopologist-x-vinak-4l-prod-kagan-kiot","Hiphopologist","Hiphopologist x Vinak - 4L [Prod. Kagan, Kiot, Safe]","1277589","15600","830","2024-02-05T21:07:48.000Z","https://i1.sndcdn.com/artworks-gLHoGBAhQBVnRlpQ-cDBZyg-t50x50.jpg"
"https://soundcloud.com/hiphopologistsoroush/hiphopologist-x-vinak-kiki-prod-kagan-kiot","Hiphopologist","Hiphopologist x Vinak - Kiki [Prod. Kagan, Kiot,Safe]","1165077","15800","626","2024-02-05T21:07:40.000Z","https://i1.sndcdn.com/artworks-gLHoGBAhQBVnRlpQ-cDBZyg-t50x50.jpg"
"https://soundcloud.com/hiphopologistsoroush/hiphopologist-x-vinak-ft-heliyom-hamcluby-prod-kagan-moreshahin-yj","Hiphopologist","Hiphopologist x Vinak Ft Heliyom - Hamcluby [Prod. Kagan, Moreshahin, Yj, Vlirza, A4key]","1408843","24000","695","2024-02-05T21:07:26.000Z","https://i1.sndcdn.com/artworks-gLHoGBAhQBVnRlpQ-cDBZyg-t50x50.jpg"
"https://soundcloud.com/hiphopologistsoroush/hiphopologist-x-vinak-karo-bigi-prod-kagan-cashbeatz","Hiphopologist","Hiphopologist x Vinak - Karo Bigi [Prod. Kagan, Cashbeatz, Vlirza, LIQueur]","2151854","29200","1115","2024-02-05T21:06:03.000Z","https://i1.sndcdn.com/artworks-gLHoGBAhQBVnRlpQ-cDBZyg-t50x50.jpg"
"https://soundcloud.com/hiphopologistsoroush/hiphopologist-x-vinak-kare-ma-prod-kagan-dousti-roohi","Hiphopologist","Hiphopologist x Vinak - Kare Ma [Prod. Kagan, Dousti, Roohi]","2067554","28600","1674","2024-02-05T21:05:53.000Z","https://i1.sndcdn.com/artworks-gLHoGBAhQBVnRlpQ-cDBZyg-t50x50.jpg"
"https://soundcloud.com/hiphopologistsoroush/hiphopologist-x-vinak-belaad-prod-kagan-rasam","Hiphopologist","Hiphopologist x Vinak - Belaad [Prod. Kagan, Rasam]","2783685","44900","2267","2024-02-03T17:44:04.000Z","https://i1.sndcdn.com/artworks-cH3yCwZNdksGQGid-VTCT1w-t50x50.jpg"
