"album_id","album_name","total_tracks","release_date","album_type","artist_names","artist_ids","cover"
"2EjrXQPIG4VeplwYeiPKvu","Bi Marefat","1","2010-12-31","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048518bf012c5c33dfd844aa5eee1"
"2dHbT46w5L1knIOqS2v5cW","Tarkam Nakon","1","2010-12-27","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851e03b5493193b6a953a21bc8e"
"3ZmxEC696PSQmKe9NZug9c","Bi To Mitarsam","1","2010-11-12","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048510a63426c8300479a71ddfbfa"
"71l4Gt9wcjHkdVeOP7zt2g","Age Roozi","1","2010-11-12","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048512c72caf1910bf2c67ce6f5ca"
"1hZlLpw8umZqjF2YI29LGi","Ba Man Bash","1","2010-09-30","single","Hossein Tohi,Amir Tataloo","4k6CTBBN37EIYJUs2HzmGx,5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048511ce31662c923acbac49c0dff"
"35lSZSzrYhn2A1EllZogBA","Stay With Me","1","2010-08-10","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485104ab9a5bbd378d71e37e8751"
"2HuqPRxBuRHts9z5kzGHGV","Ey Val","1","2010-08-08","single","Rezaya,Amir Tataloo,Ardalan Tomeh","7gvV1RPLH9WwKCyCrACJXl,5CEosSs2y4M9THNGI6mej8,7vHBSv5IECLSSxB1czJeft","https://i.scdn.co/image/ab67616d00004851cdc8f78ce266695b7f3afad0"
"1Kw9XJSycOnlhZkthw5VY2","Begoo Binam Nadidish","1","2010-08-06","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048516385e21509cc52a6924bd0ef"
"6rHBp8rPIIYZusO7A78Ce7","Yeki Behesh Zang Bezane","1","2010-07-10","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485114c67adef0324965efc5753e"
"1fQLMjv3dyxcGNK5xT4i0l","Vaghti Ke Baroon Migire","1","2010-07-10","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485104d6a588e600bc25faf0dac4"
"4MAsMunEZ6bQoxy2f1dQmX","Zendegimo Vasat Midam","1","2010-05-20","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d0000485149b4c1356e47e41c0d352d7e"
"3kLyQenPqpCnV7r8JfVzEJ","My Heart","1","2010-04-23","single","Amir Tataloo,Hossein Tohi","5CEosSs2y4M9THNGI6mej8,4k6CTBBN37EIYJUs2HzmGx","https://i.scdn.co/image/ab67616d00004851cdb7345352b7792a15266f17"
"4f3lNLhfvCeN2RJefQX0RG","Benze Ghermez","1","2010-03-08","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048514a2c8abe2e3f17366f244024"
"04Fu7rgJr5xkwKg5cXci5Y","Chekareyi","1","2010-02-22","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851a48329f40930d1211bb01dc4"
"0pngCV1WrEijnsyPpKIUxg","Na Dorooghe","1","2010-02-19","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851ab18dc48d3b6c762670add38"
"6VzAEChpSitiaHDcyC8vUc","Tamas Karish Nakon","1","2009-09-27","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851e4f742ee5d4edf552c3b17f2"
"2NX5WaUit7WLHC5Z2RMk6O","Irane Sabz","1","2009-05-29","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851e31556df86e2fc66b77c4384"
"5uEzxnDAaeZX3uYkaMT75l","Gir Midadi","1","2009-04-20","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d000048517456346d873638abe8d468c2"
"7HuNuG8vVW7Y5X0C6VTN2t","Rafti Ama To Bedoon","1","2008-10-08","single","Amir Tataloo","5CEosSs2y4M9THNGI6mej8","https://i.scdn.co/image/ab67616d00004851529de66217cf454c5e8f2125"
